LOGIN,IP,PUERTO,ESTADO_ELEMENTO,ESTADO_SERVICIO
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
stdjechil_m,172.30.253.9,2/12,HABILITADO,Cancel
stdjechil_m,172.30.253.9,2/12,HABILITADO,Cancel
rioaemoreiral,172.31.200.3,2/4,HABILITADO,Activo
rioaemoreiral,172.31.200.3,2/4,HABILITADO,Activo
rioaemoreiral,172.31.200.3,2/4,HABILITADO,Activo
rioaemoreiral,172.31.200.3,2/4,HABILITADO,Activo
stdjechil_m,172.30.253.9,2/12,HABILITADO,Cancel
rioaemoreiral,172.31.200.3,2/4,HABILITADO,Activo
rioaemoreiral,172.31.200.3,2/4,HABILITADO,Activo
rioaemoreiral,172.31.200.3,2/4,HABILITADO,Activo
rioaemoreiral,172.31.200.3,2/4,HABILITADO,Activo
rioaemoreiral,172.31.200.3,2/4,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
rioaemoreiral,172.31.200.3,2/4,HABILITADO,Activo
stdjechil_m,172.30.253.9,2/12,HABILITADO,Cancel
rioydlluguinm1,172.31.200.3,2/20,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
stdcpcaba_m,172.30.253.146,2/18,HABILITADO,Cancel
LIBRE,172.30.253.9,2/19,HABILITADO,Cancel
LIBRE,172.30.253.9,2/19,HABILITADO,Cancel
LIBRE,172.30.253.9,2/19,HABILITADO,Cancel
LIBRE,172.30.253.9,2/19,HABILITADO,Cancel
rioydlluguinm1,172.31.200.3,2/20,HABILITADO,Activo
rioydlluguinm1,172.31.200.3,2/20,HABILITADO,Activo
rioydlluguinm1,172.31.200.3,2/20,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
uiovhgonzalez,172.30.252.3,2/7,HABILITADO,Activo
LIBRE,172.30.253.9,2/8,BLOQUEADO,Cancel
LIBRE,172.30.253.9,2/8,HABILITADO,Cancel
LIBRE,172.30.253.9,2/8,HABILITADO,Cancel
LIBRE,172.30.253.9,2/8,HABILITADO,Cancel
rioydlluguinm1,172.31.200.3,2/20,HABILITADO,Activo
stdelpazm,172.30.253.117,2/7,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
stdcpcaba_m,172.30.253.146,2/18,HABILITADO,Cancel
stdcpcaba_m,172.30.253.146,2/18,HABILITADO,Cancel
stdcpcaba_m,172.30.253.146,2/18,HABILITADO,Cancel
stdcpcaba_m,172.30.253.146,2/18,HABILITADO,Cancel
stdcpcaba_m,172.30.253.146,2/18,HABILITADO,Cancel
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
uioefjaramills,172.30.252.3,2/14,HABILITADO,Activo
stdelpazm,172.30.253.117,2/7,HABILITADO,Activo
uiollloors,172.30.252.3,2/2,HABILITADO,Activo
uiollloors,172.30.252.3,2/2,HABILITADO,Activo
uiollloors,172.30.252.3,2/2,HABILITADO,Activo
uiollloors,172.30.252.3,2/2,HABILITADO,Activo
uiollloors,172.30.252.3,2/2,HABILITADO,Activo
uiollloors,172.30.252.3,2/2,HABILITADO,Activo
uiollloors,172.30.252.3,2/2,HABILITADO,Activo
uiollloors,172.30.252.3,2/2,HABILITADO,Activo
uiollloors,172.30.252.3,2/2,HABILITADO,Activo
uiollloors,172.30.252.3,2/2,HABILITADO,Activo
stdncvacam,172.30.253.146,2/17,HABILITADO,Activo
stdlavegam_m,172.30.253.9,2/11,HABILITADO,Cancel
stdncvacam,172.30.253.146,2/17,HABILITADO,Activo
stdncvacam,172.30.253.146,2/17,HABILITADO,Activo
stdncvacam,172.30.253.146,2/17,HABILITADO,Activo
stdncvacam,172.30.253.146,2/17,HABILITADO,Activo
stdncvacam,172.30.253.146,2/17,HABILITADO,Activo
rioydlluguinm1,172.31.200.3,2/20,HABILITADO,Activo
stdelpazm,172.30.253.117,2/7,HABILITADO,Activo
stdelpazm,172.30.253.117,2/7,HABILITADO,Activo
stdelpazm,172.30.253.117,2/7,HABILITADO,Activo
stdelpazm,172.30.253.117,2/7,HABILITADO,Activo
stdelpazm,172.30.253.117,2/7,HABILITADO,Activo
stdelpazm,172.30.253.117,2/7,HABILITADO,Activo
stdelpazm,172.30.253.117,2/7,HABILITADO,Activo
stdelpazm,172.30.253.117,2/7,HABILITADO,Activo
stdelpazm,172.30.253.117,2/7,HABILITADO,Activo
uiollloors,172.30.252.3,2/2,HABILITADO,Activo
uiollloors,172.30.252.3,2/2,HABILITADO,Activo
uiollloors,172.30.252.3,2/2,HABILITADO,Activo
uiollloors,172.30.252.3,2/2,BLOQUEADO,Activo
uiollloors,172.30.252.3,2/2,BLOQUEADO,Activo
uiollloors,172.30.252.3,2/2,BLOQUEADO,Activo
uiollloors,172.30.252.3,2/2,BLOQUEADO,Activo
uiollloors,172.30.252.3,2/2,BLOQUEADO,Activo
stdfhsembla,172.30.253.146,2/8,HABILITADO,Cancel
stdfhsembla,172.30.253.146,2/8,HABILITADO,Cancel
stdfhsembla,172.30.253.146,2/8,HABILITADO,Cancel
stdfhsembla,172.30.253.146,2/8,HABILITADO,Cancel
stdfhsembla,172.30.253.146,2/8,HABILITADO,Cancel
stdfhsembla,172.30.253.146,2/8,HABILITADO,Cancel
rioydlluguinm1,172.31.200.3,2/20,HABILITADO,Activo
rioydlluguinm1,172.31.200.3,2/20,HABILITADO,Activo
rioydlluguinm1,172.31.200.3,2/20,HABILITADO,Activo
rioydlluguinm1,172.31.200.3,2/20,HABILITADO,Activo
stdrigarciaz2,172.30.253.117,2/24,HABILITADO,Cancel
