LOGIN,IP,PUERTO,ESTADO_ELEMENTO,ESTADO_SERVICIO
uiooterant,172.30.254.196,0/25,HABILITADO,Activo
uiolvpenah,172.30.254.120,0/6,HABILITADO,Activo
LIBRE,172.30.254.119,0/23,HABILITADO,In-Corte
uiodmaacl,172.30.249.6,0/21,HABILITADO,Activo
uiomgcajase,172.30.254.195,0/1,HABILITADO,Activo
uiosrestevezb,172.30.254.196,0/11,HABILITADO,Activo
uioquala,172.30.254.119,0/8,HABILITADO,Activo
uioconsulcarsi,172.30.254.3,0/16,HABILITADO,Activo
uioasesores,172.30.254.120,0/16,HABILITADO,Activo
uiointegridad1,172.30.249.6,0/2,HABILITADO,Activo
uioefguerrag,172.30.254.2,0/7,HABILITADO,Cancel
uioalfredo2,172.30.254.195,0/11,HABILITADO,Activo
uiodjmacm,172.30.254.196,0/24,HABILITADO,Activo
uiohfiallos,172.30.254.119,0/1,HABILITADO,Activo
uiometamorfsa1,172.30.254.120,0/19,HABILITADO,Activo
uioritefoex2,172.30.254.3,0/8,HABILITADO,Activo
uiodcld,172.30.254.2,0/10,HABILITADO,Activo
uioareitz,172.30.254.195,0/10,HABILITADO,Activo
uiovicvcl2,172.30.249.5,0/14,HABILITADO,Activo
uiopecamachof_m,172.30.249.6,0/20,HABILITADO,Activo
uiopnud,172.30.254.196,0/4,HABILITADO,Activo
uiosteelresour,172.30.254.120,0/27,HABILITADO,Activo
LIBRE,172.30.254.3,0/22,HABILITADO,In-Corte
uioafianzasa1,172.30.254.119,0/20,HABILITADO,Activo
uioccl,172.30.254.195,0/5,HABILITADO,Activo
uiojemunozh1,172.30.254.2,0/28,HABILITADO,Activo
uiosistemas1,172.30.254.196,0/28,HABILITADO,Activo
uionunez1,172.30.249.6,0/1,HABILITADO,Activo
uiommmanriquea,172.30.249.5,0/4,HABILITADO,Activo
uiopimss,172.30.254.195,0/25,HABILITADO,Activo
uioghcastil,172.30.254.119,0/27,HABILITADO,Cancel
uiocolnexoscia,172.30.254.120,0/31,HABILITADO,Activo
uiomedicorsa,172.30.254.3,0/9,HABILITADO,Activo
uiomacros,172.30.249.6,0/22,HABILITADO,Activo
uiojnvele,172.30.254.196,0/30,HABILITADO,Activo
uiodavila,172.30.254.2,0/19,HABILITADO,Activo
uiolive,172.30.254.119,0/25,HABILITADO,Activo
LIBRE,172.30.254.120,0/18,HABILITADO,In-Corte
uiocipenahec,172.30.254.3,0/26,HABILITADO,Activo
uioincine1,172.30.254.195,0/23,HABILITADO,Activo
uioimpobus,172.30.249.5,0/27,HABILITADO,Activo
uioliderandoec,172.30.254.120,0/11,HABILITADO,Activo
uiocolumtrad,172.30.254.119,0/22,HABILITADO,Activo
uioergscl,172.30.254.2,0/5,HABILITADO,Activo
uiosasilvam1,172.30.254.196,0/5,HABILITADO,Activo
uioincine2,172.30.254.195,0/22,HABILITADO,Activo
uioasociacione,172.30.254.3,0/21,HABILITADO,Activo
uiospvelazquez,172.30.249.5,0/23,HABILITADO,Activo
uioodontoimag,172.30.254.119,0/30,HABILITADO,Activo
uioaoconsulto,172.30.254.120,0/30,HABILITADO,Activo
uiomcortes,172.30.254.3,0/13,HABILITADO,Activo
uiojvillarroel2,172.30.254.195,0/12,HABILITADO,Activo
uiotrustoilcsa,172.30.254.196,0/15,HABILITADO,Activo
uiomvvale,172.30.254.120,0/13,HABILITADO,Cancel
LIBRE,172.30.254.119,0/7,HABILITADO,In-Corte
uiobyucksan1,172.30.249.5,0/6,HABILITADO,Cancel
uiohgyanezj,172.30.254.196,0/21,HABILITADO,Activo
uioyanezavalos2,172.30.254.3,0/12,HABILITADO,Activo
uiostartelsystems1,172.30.254.195,0/16,HABILITADO,Cancel
uioppzald_m,172.30.254.2,0/1,HABILITADO,Activo
uiosmpala,172.30.249.5,0/19,HABILITADO,Activo
uiocompanyguev,172.30.254.119,0/3,HABILITADO,Activo
uiolamoli,172.30.254.120,0/15,HABILITADO,Activo
uioavega,172.30.254.2,0/30,HABILITADO,Activo
uiojaespi,172.30.254.195,0/13,HABILITADO,Activo
uiosegurivit,172.30.254.3,0/32,HABILITADO,Activo
LIBRE,172.30.254.196,0/20,HABILITADO,In-Corte
uionecumb,172.30.254.195,0/19,HABILITADO,Activo
uioaringconstru,172.30.254.2,0/16,HABILITADO,Activo
uioccc,172.30.254.120,0/24,HABILITADO,Activo
uiomaxiit,172.30.254.119,0/28,HABILITADO,Activo
uiokomiteconsu,172.30.249.5,0/13,HABILITADO,Activo
uiodmmcmeekin,172.30.254.196,0/3,HABILITADO,Activo
uiogebenavi,172.30.254.3,0/6,HABILITADO,Activo
uioamrea,172.30.254.195,0/31,HABILITADO,Activo
uiojpmoncayos1,172.30.254.120,0/3,HABILITADO,Activo
uiosiguzm,172.30.254.2,0/17,HABILITADO,Activo
LIBRE,172.30.254.196,0/26,HABILITADO,Cancel
uiolibreriastu1,172.30.254.119,0/5,HABILITADO,Activo
uionatener1,172.30.249.5,0/9,HABILITADO,Activo
uiolegudinop,172.30.254.2,0/20,HABILITADO,Activo
uioclinicsanta,172.30.254.120,0/14,HABILITADO,Activo
LIBRE,172.30.254.3,0/11,HABILITADO,In-Corte
uioserconel,172.30.254.195,0/7,HABILITADO,Activo
uioretospublic,172.30.254.2,0/3,HABILITADO,Activo
uiodrpichucho1,172.30.249.5,0/1,HABILITADO,Cancel
uiohrribade,172.30.254.119,0/18,HABILITADO,Activo
uiojimen_m,172.30.254.196,0/27,HABILITADO,Activo
uiosolucionesc,172.30.254.2,0/2,HABILITADO,Activo
uiojerodriguez1,172.30.254.195,0/21,HABILITADO,Activo
uiopinietob,172.30.254.3,0/24,HABILITADO,Activo
uioevaleryg,172.30.254.120,0/29,HABILITADO,Activo
uiohjsantacruz,172.30.254.119,0/10,HABILITADO,Activo
uioalmacenel1,172.30.249.5,0/28,HABILITADO,Activo
uiohlavilla,172.30.254.195,0/9,HABILITADO,Cancel
uiojfdelgadod,172.30.254.2,0/18,HABILITADO,Activo
uiombteranv,172.30.254.119,0/6,HABILITADO,Activo
uioimaginar,172.30.254.120,0/28,HABILITADO,Activo
uiojfgalarzag,172.30.254.2,0/31,HABILITADO,Activo
uiobruzzone1,172.30.254.195,0/15,HABILITADO,Activo
uiolioquendop,172.30.249.5,0/2,HABILITADO,Activo
uioteccellsa6,172.30.254.3,0/29,HABILITADO,Activo
uionunezserran,172.30.254.2,0/12,HABILITADO,Cancel
uiomilledesign,172.30.254.195,0/32,HABILITADO,Activo
uiocroldan,172.30.254.119,0/15,HABILITADO,Activo
uiocryo1,172.30.249.5,0/3,HABILITADO,Activo
uioconstructor3,172.30.254.3,0/25,HABILITADO,Activo
uiojerodriguez2,172.30.254.195,0/3,HABILITADO,Activo
uioandesoftint2,172.30.254.2,0/21,HABILITADO,Activo
uioasisleg1,172.30.254.119,0/12,HABILITADO,Activo
uiojezurita,172.30.249.5,0/15,HABILITADO,Activo
uiofrpintog,172.30.254.195,0/4,HABILITADO,Activo
uioafmoraa,172.30.249.5,0/18,HABILITADO,Activo
uiofcabrera,172.30.249.5,0/30,HABILITADO,Activo
uiocecomsa,172.30.249.5,0/22,HABILITADO,Activo
LIBRE,172.30.249.5,0/17,HABILITADO,In-Corte
uiodvzumb,172.30.249.5,0/24,HABILITADO,Cancel
uiosfsanche_m,172.30.249.5,0/11,HABILITADO,Activo
uioprolubricar,172.30.249.5,0/26,HABILITADO,Activo
uiobestservice,172.30.249.5,0/21,HABILITADO,Activo
uiojdpesantezd,172.30.249.5,0/20,HABILITADO,Activo
