LOGIN,IP,PUERTO,ESTADO_ELEMENTO,ESTADO_SERVICIO
uiomesotoe,172.30.249.146,xdsl 8,HABILITADO,Activo
uiowbmont,172.30.251.89,xdsl 34,HABILITADO,Activo
uiodjaramilloa1,172.30.251.87,xdsl 1,HABILITADO,Activo
gyeestudiof1,172.17.17.62,xdsl 43,HABILITADO,Activo
uiomjvivancor,172.30.249.166,xdsl 22,HABILITADO,Activo
uiocfproanoa,172.30.251.85,xdsl 9,HABILITADO,Activo
uiocas.a.,172.30.251.50,xdsl 38,HABILITADO,Activo
uiosegesvol,172.30.252.34,xdsl 30,HABILITADO,Activo
uiomegalec,172.30.252.18,xdsl 22,HABILITADO,Activo
uiorperezs,172.30.249.74,xdsl 6,HABILITADO,Activo
uioimbasqueze,172.30.252.19,xdsl 41,HABILITADO,Activo
uiorproanoz,172.30.251.84,xdsl 25,HABILITADO,Activo
gyemicordovab,172.27.151.254,xdsl 40,HABILITADO,Activo
uiointcomex,172.30.254.20,xdsl 4,HABILITADO,Activo
gyeanvall_m,172.17.120.254,xdsl 1,HABILITADO,Activo
gyeservapsa,172.27.73.254,xdsl 48,HABILITADO,Activo
uiojemunozm,172.30.249.88,xdsl 5,HABILITADO,Activo
gyehasalm,172.17.112.254,xdsl 47,HABILITADO,Activo
uiojjsalg_m,172.30.249.89,xdsl 9,HABILITADO,Activo
uiojezamorac,172.30.249.146,xdsl 16,HABILITADO,Activo
uiojaram,172.30.251.132,xdsl 30,HABILITADO,Activo
uiocjmazo,172.30.251.50,xdsl 10,HABILITADO,Cancel
uiolecaleroa,172.30.251.85,xdsl 36,HABILITADO,Activo
uiomghurtadoy,172.30.252.34,xdsl 18,HABILITADO,Activo
LIBRE,172.26.2.252,xdsl 3,BLOQUEADO,In-Corte
gyeestudiof,172.17.17.62,xdsl 29,HABILITADO,Activo
uiodjboad_m,172.30.251.87,xdsl 17,HABILITADO,Activo
uiowmvela,172.30.254.179,xdsl 20,HABILITADO,Cancel
uiodipronc_m,172.30.251.24,xdsl 25,HABILITADO,Activo
gyececuamaq,172.27.151.254,xdsl 48,HABILITADO,Activo
duraocarv_m,172.17.104.254,xdsl 36,HABILITADO,Activo
uioupperezb,172.30.251.84,xdsl 27,HABILITADO,Activo
uioastraca1,172.30.252.19,xdsl 19,HABILITADO,Activo
gyejrtorress,172.17.106.254,xdsl 10,HABILITADO,Activo
uiojomantillaa,172.30.251.82,xdsl 22,HABILITADO,Activo
uiopalope,172.30.249.166,xdsl 26,HABILITADO,Activo
uioafholg,172.30.249.74,xdsl 7,HABILITADO,Activo
uioamineriae,172.30.252.18,xdsl 19,HABILITADO,Cancel
LIBRE,172.26.2.254,xdsl 1,BLOQUEADO,In-Corte
uiojfmorenoj1,172.30.252.34,xdsl 20,HABILITADO,Activo
balcmcruzm,172.26.4.254,xdsl 22,HABILITADO,Activo
bbhelnovo_m,172.23.37.254,xdsl 11,HABILITADO,Activo
uiohsyepezr,172.30.251.85,xdsl 26,HABILITADO,Activo
uiojfdel1,172.30.251.50,xdsl 26,HABILITADO,Activo
uiojdbust,172.30.249.179,xdsl 14,HABILITADO,Activo
uiosopuen,172.30.251.132,xdsl 31,HABILITADO,Activo
blsscl_m,10.111.2.254,xdsl 25,HABILITADO,Activo
blsuesfa,10.111.3.254,xdsl 35,HABILITADO,Activo
uiomemora,172.30.254.82,xdsl 9,HABILITADO,Activo
uiofntorresm,172.30.249.146,xdsl 2,HABILITADO,Activo
gyenetsic,172.17.112.253,xdsl 14,HABILITADO,Activo
,172.18.54.254,,NO ENTRO,
gyeaecarr,172.17.127.254,xdsl 8,HABILITADO,Activo
uiopepine_m,172.30.252.178,xdsl 6,HABILITADO,Activo
balletrivin_m,172.26.2.254,xdsl 42,HABILITADO,Activo
uiojgfern,172.30.249.89,xdsl 20,HABILITADO,Activo
uiomdespinosa,172.30.254.20,xdsl 37,HABILITADO,Activo
gyelfarcel_m,172.17.112.254,xdsl 38,HABILITADO,Activo
uiohasara,172.30.249.165,xdsl 19,HABILITADO,Activo
gyehubimeza,172.27.73.254,xdsl 46,HABILITADO,Activo
uiocwahlih2,172.30.249.88,xdsl 29,HABILITADO,Activo
uiohapallarese,172.30.251.89,xdsl 23,HABILITADO,Cancel
gyesmtorr_m,172.17.120.254,xdsl 34,HABILITADO,Activo
maneealcivarc_m,172.28.34.251,xdsl 38,HABILITADO,Activo
durbjmend_m,172.17.105.254,xdsl 44,HABILITADO,Activo
uiogmpomaj,172.30.251.50,xdsl 11,HABILITADO,Cancel
uiojlguev,172.30.249.179,xdsl 3,HABILITADO,Cancel
uionzaltamiran,172.30.251.85,xdsl 19,HABILITADO,Activo
jipygsuar,172.21.32.253,xdsl 10,HABILITADO,Activo
uioeagarridog,172.30.249.90,xdsl 9,HABILITADO,Activo
macrfloay_m,172.20.36.254,xdsl 42,HABILITADO,Activo
balvcmont,172.26.4.254,xdsl 8,HABILITADO,Activo
macrabenitezg_m,172.20.22.251,xdsl 4,HABILITADO,Activo
uiocacast_m,172.30.249.74,xdsl 27,HABILITADO,Activo
jipvavelizn,172.21.21.253,xdsl 22,HABILITADO,Activo
uiozmromanm,172.30.251.82,xdsl 9,HABILITADO,Activo
blsincupasa,10.111.3.253,xdsl 31,HABILITADO,Activo
gyeraplaz_m,172.17.106.254,xdsl 47,HABILITADO,Activo
uiosbbita,172.30.251.84,xdsl 42,HABILITADO,Activo
balmwcapu_m,172.26.3.254,xdsl 39,HABILITADO,Activo
cayivsanche,172.30.250.2,xdsl 16,HABILITADO,Activo
bbhjye_m,172.23.24.254,xdsl 1,HABILITADO,Activo
gyedionosa1,172.27.151.254,xdsl 36,HABILITADO,Activo
uiokpgarciah,172.30.252.139,xdsl 10,HABILITADO,Activo
uioelsaen,172.30.251.24,xdsl 17,HABILITADO,Activo
uiofbalveara,172.30.254.179,xdsl 23,HABILITADO,Cancel
uioagfrei_m,172.30.249.226,xdsl 36,HABILITADO,Activo
durfrmaci2_m,172.17.133.254,xdsl 6,HABILITADO,Activo
uiodmsuasna,172.30.251.87,xdsl 38,HABILITADO,Activo
gyesumbawa,172.17.17.62,xdsl 14,HABILITADO,Activo
uiocpachano,172.30.254.167,xdsl 8,HABILITADO,Activo
gyeasociacion1,172.17.106.254,xdsl 37,HABILITADO,Activo
balrdparragaz,172.26.3.254,xdsl 12,HABILITADO,Activo
manccs_m,172.28.125.252,xdsl 19,HABILITADO,Activo
jipaesalazarc,172.21.21.253,xdsl 25,HABILITADO,Activo
baljwavil,172.26.2.253,xdsl 27,HABILITADO,Cancel
uioextractorala,172.30.249.211,xdsl 10,HABILITADO,Cancel
uiomsandaa,172.30.249.74,xdsl 9,HABILITADO,Activo
macvmurgilezc,172.20.22.251,xdsl 1,HABILITADO,Activo
balhaalciva,172.26.4.254,xdsl 12,HABILITADO,Activo
mancacaleroc2_m,172.28.112.246,xdsl 27,HABILITADO,Activo
manjcalmeida,172.28.50.254,xdsl 13,HABILITADO,Activo
duraavarg_m,172.17.104.254,xdsl 33,HABILITADO,Cancel
empjforoz,172.22.101.252,xdsl 29,HABILITADO,Activo
uiopjochoaa,172.30.252.171,xdsl 18,HABILITADO,Activo
LIBRE,172.26.2.252,xdsl 42,BLOQUEADO,In-Corte
uiovpmant,172.30.249.90,xdsl 21,HABILITADO,Activo
uiohsehcialtda,172.30.252.19,xdsl 4,HABILITADO,Activo
uiopdgallegosg,172.30.251.85,xdsl 10,HABILITADO,Activo
caympbroc,172.30.250.3,xdsl 29,HABILITADO,Activo
uioacastrop,172.30.249.179,xdsl 2,HABILITADO,Activo
macrcallenb_m,172.20.45.254,xdsl 23,HABILITADO,Activo
uiogcorrea,172.30.249.211,xdsl 8,HABILITADO,Cancel
LIBRE,172.30.251.50,xdsl 12,BLOQUEADO,In-Corte
uioblvinuezau3,172.30.249.166,xdsl 30,HABILITADO,Activo
jipwlgome,172.21.29.254,xdsl 6,HABILITADO,Activo
manjolagosd,172.28.34.251,xdsl 40,HABILITADO,Activo
libmpaltamir_m,172.18.52.254,xdsl 32,HABILITADO,Activo
libmrserr,172.18.39.254,xdsl 35,HABILITADO,Cancel
uiocbsanchezm_m,172.30.252.34,xdsl 19,HABILITADO,Activo
uiogamoreanog,172.30.249.88,xdsl 4,HABILITADO,Activo
